x,y
1.3135599360166728,394.43277718619527
1.4424989540836597,596.6233512939996
1.7644616245392486,904.1485770445312
15.851280325949402,963.7765422653794
35.20411181209349,995.3004998825388
47.70573499659558,998.6525518936852
918.0952034505208,997.9021022272198
966.0658410735758,988.4818296218202
990.474119071153,956.8328677186307
998.6601496045272,578.5592090136256
999.9347611279688,181.31866310369116
982.6271196577619,29.545786665514882
934.733218498573,1.882069908244799
680.8264916858875,1.282403530702969
95.13263270830252,0.39511812315473627
13.2573670503916,13.438419343945407
7.852288837209009,43.41966041384193
